category,description,severity,latitude,longitude,timestamp,zone
Hurto,Un hombre hicieron ruido a un estudiante en vía pública,bajo,4.8612776,-74.0601998,2026-05-06T18:44:39.596204,
Otro,Un tipo parecían sospechosos a una mujer frente a un comercio,bajo,4.852276986461411,-73.99813203656016,2026-05-14T10:44:39.600206,Chía
Otro,Un ladrón parecían sospechosos a un estudiante en zona residencial,bajo,4.8490400174798305,-74.06999632362796,2026-05-17T06:44:39.603207,Cerca de Piedra
Comportamiento sospechoso,Un grupo de personas merodeaban a un ciudadano frente a un comercio,bajo,4.8376128,-74.0597532,2026-05-12T10:44:39.606214,
Vandalismo,Un grupo de personas merodeaban a un ciudadano en vía pública,bajo,4.8454882372353785,-74.05269716120058,2026-04-28T14:44:39.609791,La Balsa
Hurto,Un grupo de personas parecían sospechosos a un ciudadano cerca del parque,bajo,4.885420016258159,-74.04253579321993,2026-05-06T19:44:39.611794,Chía
Comportamiento sospechoso,Un hombre hicieron ruido a un ciudadano cerca del parque,bajo,4.8795697,-74.0433843,2026-05-13T22:44:39.614922,
Vandalismo,Un tipo parecían sospechosos a un estudiante en zona residencial,bajo,4.8430746731180685,-74.0365178604034,2026-05-05T05:44:39.616924,La Balsa
Comportamiento sospechoso,Un tipo merodeaban a una mujer en vía pública,bajo,4.877773704953377,-74.04707211475106,2026-04-30T19:44:39.618924,Casco urbano de Calahorra
Vandalismo,Un tipo parecían sospechosos a un ciudadano en zona residencial,bajo,4.8612776,-74.0601998,2026-05-07T05:44:39.622966,
Comportamiento sospechoso,Un grupo de personas merodeaban a varias personas cerca del parque,bajo,4.874622569807819,-74.05409169796663,2026-05-10T12:44:39.627966,Bojacá
Otro,Un grupo de personas parecían sospechosos a una mujer en vía pública,bajo,4.8660334,-74.0306281,2026-05-07T12:44:39.631027,
Vandalismo,Un tipo parecían sospechosos a una mujer en vía pública,bajo,4.8634708,-74.0766704,2026-05-20T02:44:39.634030,
Otro,Un tipo hicieron ruido a un estudiante cerca del parque,bajo,42.50336014705301,0.44207924026073586,2026-05-22T00:44:39.637028,Chía
Vandalismo,Un grupo de personas parecían sospechosos a varias personas frente a un comercio,bajo,4.841925239790862,-74.04370344259954,2026-05-01T01:44:39.639238,Chía
Hurto,Dos sujetos merodeaban a un ciudadano en vía pública,bajo,4.856136645921575,-74.06539785834147,2026-05-17T08:44:39.642588,Chía
Otro,Un ladrón parecían sospechosos a un ciudadano en zona residencial,bajo,4.8634708,-74.0766704,2026-05-10T08:44:39.645587,
Vandalismo,Un hombre merodeaban a un estudiante en vía pública,bajo,4.857240821713477,-74.06715528497739,2026-04-24T20:44:39.648591,Casco urbano de Chía
Comportamiento sospechoso,Dos sujetos merodeaban a un estudiante frente a un comercio,bajo,4.848849708653059,-74.0718107342571,2026-05-18T06:44:39.651586,Cerca de Piedra
Vandalismo,Un hombre merodeaban a una mujer frente a un comercio,bajo,4.8376128,-74.0597532,2026-05-09T04:44:39.654586,
Otro,Dos sujetos parecían sospechosos a una mujer en zona residencial,bajo,4.8376128,-74.0597532,2026-05-14T18:44:39.657589,
Vandalismo,Un hombre hicieron ruido a un estudiante frente a un comercio,bajo,4.8861727374813135,-74.014232873371,2026-05-01T07:44:39.659586,Chía
Hurto,Un hombre parecían sospechosos a un estudiante en vía pública,bajo,4.8660334,-74.0306281,2026-05-14T09:44:39.662355,
Otro,Un hombre merodeaban a un ciudadano cerca del parque,bajo,4.833290347283666,-74.01715091945901,2026-05-05T08:44:39.664356,Fusca
Otro,Un grupo de personas merodeaban a varias personas en zona residencial,bajo,4.851699590533713,-74.08089264610734,2026-05-17T10:44:39.666667,Cerca de Piedra
Hurto,Un ladrón parecían sospechosos a un estudiante en vía pública,bajo,4.887102218870938,-74.01049787174678,2026-05-16T22:44:39.668674,Chía
Vandalismo,Un hombre hicieron ruido a una mujer en vía pública,bajo,4.884161794662168,-74.02458613306806,2026-05-15T08:44:39.670784,Bojacá
Hurto,Un hombre hicieron ruido a varias personas en vía pública,bajo,4.8733286,-74.071861,2026-05-15T03:44:39.673954,
Hurto,Un tipo merodeaban a una mujer frente a un comercio,bajo,42.51025930936958,0.42106629438596654,2026-05-05T16:44:39.676954,Chía
Hurto,Un grupo de personas merodeaban a una mujer en zona residencial,bajo,42.56700990010584,0.4197682196458495,2026-05-12T22:44:39.679953,Chía
Otro,Un hombre parecían sospechosos a una mujer en zona residencial,bajo,4.855782886023851,-74.07746561889127,2026-05-07T14:44:39.681953,Cerca de Piedra
Vandalismo,Un hombre parecían sospechosos a una mujer frente a un comercio,bajo,4.8660334,-74.0306281,2026-05-19T09:44:39.683953,
Comportamiento sospechoso,Un grupo de personas parecían sospechosos a una mujer frente a un comercio,bajo,4.8733286,-74.071861,2026-04-28T22:44:39.686954,
Hurto,Dos sujetos merodeaban a una mujer en vía pública,bajo,42.52176037319515,0.42616784913151173,2026-05-16T18:44:39.692059,Chía
Comportamiento sospechoso,Un ladrón parecían sospechosos a varias personas frente a un comercio,bajo,42.5206948,0.465951,2026-05-11T20:44:39.695061,
Vandalismo,Un tipo parecían sospechosos a varias personas en vía pública,bajo,42.553467225048024,0.42751756553151965,2026-05-14T21:44:39.699060,Chía
Hurto,Un grupo de personas hicieron ruido a una mujer en vía pública,bajo,4.8612776,-74.0601998,2026-04-22T11:44:39.702059,
Comportamiento sospechoso,Un hombre merodeaban a varias personas frente a un comercio,bajo,4.8660334,-74.0306281,2026-05-06T12:44:39.705388,
Vandalismo,Un hombre parecían sospechosos a una mujer cerca del parque,bajo,4.8816198,-74.0717415,2026-04-25T18:44:39.707908,
Vandalismo,Dos sujetos merodeaban a una mujer en zona residencial,bajo,4.845491425044276,-74.08071723372674,2026-05-12T10:44:39.713455,Cerca de Piedra
Vandalismo,Dos sujetos hicieron ruido a un estudiante en vía pública,bajo,4.889159448000048,-74.06198920413645,2026-05-08T11:44:39.715760,Chía
Comportamiento sospechoso,Un grupo de personas parecían sospechosos a varias personas frente a un comercio,bajo,4.874395,-74.0044445,2026-05-11T08:44:39.718762,
Vandalismo,Un tipo parecían sospechosos a una mujer frente a un comercio,bajo,4.837860503059847,-74.00949637781645,2026-04-26T05:44:39.722118,Fusca
Otro,Un ladrón hicieron ruido a varias personas frente a un comercio,bajo,42.507704072341134,0.45433228048031826,2026-04-25T18:44:39.724438,Chía
Vandalismo,Un grupo de personas merodeaban a varias personas en vía pública,bajo,4.8816198,-74.0717415,2026-05-14T15:44:39.726436,
Otro,Un ladrón hicieron ruido a un estudiante cerca del parque,bajo,4.838269306118485,-74.05835987448415,2026-05-17T01:44:39.729564,La Balsa
Hurto,Un grupo de personas merodeaban a un estudiante en vía pública,bajo,4.85349366407277,-74.08166889514897,2026-05-14T23:44:39.732560,Cerca de Piedra
Vandalismo,Un tipo hicieron ruido a un estudiante cerca del parque,bajo,4.8795697,-74.0433843,2026-05-16T03:44:39.735649,
Otro,Un ladrón parecían sospechosos a un ciudadano en zona residencial,bajo,4.822870792737483,-74.02306012717969,2026-05-14T10:44:39.737649,Fusca
Otro,Un ladrón parecían sospechosos a un estudiante frente a un comercio,bajo,4.861886201088618,-74.06207708326465,2026-05-05T11:44:39.740330,Casco urbano de Chía
Comportamiento sospechoso,Un grupo de personas parecían sospechosos a un estudiante cerca del parque,bajo,4.8419477,-74.0227978,2026-05-01T12:44:39.743343,
Comportamiento sospechoso,Un tipo hicieron ruido a un estudiante en zona residencial,bajo,4.8816198,-74.0717415,2026-05-01T06:44:39.747345,
Comportamiento sospechoso,Un tipo parecían sospechosos a varias personas frente a un comercio,bajo,4.908525587947492,-74.07268822357433,2026-05-20T04:44:39.749349,Fagua
Otro,Dos sujetos merodeaban a un estudiante en vía pública,bajo,4.8733286,-74.071861,2026-05-06T22:44:39.752964,
Otro,Dos sujetos merodeaban a varias personas en zona residencial,bajo,42.531422406973945,0.45179851025738466,2026-05-02T00:44:39.755978,Chía
Comportamiento sospechoso,Dos sujetos merodeaban a una mujer en zona residencial,bajo,4.846474262132231,-74.08235596665831,2026-04-24T14:44:39.758979,Cerca de Piedra
Otro,Un ladrón parecían sospechosos a una mujer frente a un comercio,bajo,4.8795697,-74.0433843,2026-04-26T14:44:39.761979,
Vandalismo,Un ladrón merodeaban a un estudiante en zona residencial,bajo,4.8612776,-74.0601998,2026-05-11T14:44:39.763986,
Comportamiento sospechoso,Un tipo hicieron ruido a un estudiante cerca del parque,bajo,4.8419477,-74.0227978,2026-04-24T17:44:39.765977,
Hurto,Un ladrón merodeaban a una mujer cerca del parque,bajo,4.851726018638082,-74.07842019661273,2026-05-21T20:44:39.767976,Cerca de Piedra
Comportamiento sospechoso,Dos sujetos merodeaban a una mujer en zona residencial,bajo,4.886237880946131,-74.05320906459477,2026-05-22T05:44:39.769976,Fagua
Vandalismo,Un hombre hicieron ruido a una mujer en vía pública,bajo,4.899151924395209,-73.9977837566964,2026-05-02T00:44:39.771976,Yerbabuena
Hurto,Un hombre hicieron ruido a varias personas frente a un comercio,bajo,4.8816198,-74.0717415,2026-05-19T22:44:39.773977,
Comportamiento sospechoso,Un ladrón hicieron ruido a una mujer en vía pública,bajo,4.8660334,-74.0306281,2026-04-27T01:44:39.777505,
Hurto,Un tipo merodeaban a varias personas en vía pública,bajo,4.86542595679213,-74.07539115849698,2026-04-30T22:44:39.780506,Fonquetá
Hurto,Un hombre merodeaban a un estudiante cerca del parque,bajo,4.8733286,-74.071861,2026-04-25T16:44:39.784507,
Comportamiento sospechoso,Un hombre merodeaban a una mujer cerca del parque,bajo,4.878641076130789,-74.04519050725352,2026-04-29T18:44:39.787021,Casco urbano de Calahorra
Otro,Dos sujetos parecían sospechosos a varias personas frente a un comercio,bajo,4.867371224754878,-74.06390829801566,2026-04-22T11:44:39.789224,Casco urbano de Chía
Comportamiento sospechoso,Un ladrón hicieron ruido a un estudiante en vía pública,bajo,4.8504598,-74.0792694,2026-05-21T07:44:39.791410,
Hurto,Un tipo parecían sospechosos a un ciudadano en zona residencial,bajo,4.886430975144029,-74.07525045449877,2026-05-02T14:44:39.793409,Tiquiza
Otro,Un grupo de personas parecían sospechosos a varias personas cerca del parque,bajo,42.5035250474337,0.46113552763342275,2026-05-11T10:44:39.797851,Chía
Vandalismo,Un ladrón hicieron ruido a un ciudadano cerca del parque,bajo,4.882488903759687,-74.06882857810038,2026-05-10T04:44:39.800853,Tiquiza
Otro,Un tipo parecían sospechosos a un ciudadano en vía pública,bajo,42.5206948,0.465951,2026-05-06T17:44:39.804849,
Vandalismo,Un grupo de personas hicieron ruido a un ciudadano en vía pública,bajo,4.8660334,-74.0306281,2026-05-04T19:44:39.809033,
Vandalismo,Un ladrón hicieron ruido a un ciudadano en zona residencial,bajo,4.825855914384563,-74.01650409370832,2026-05-01T15:44:39.810998,Fusca
Otro,Un tipo merodeaban a varias personas frente a un comercio,bajo,4.8708438227252335,-74.05619011405558,2026-05-12T03:44:39.815015,Bojacá
Otro,Dos sujetos merodeaban a varias personas en vía pública,bajo,4.8816198,-74.0717415,2026-05-06T14:44:39.817016,
Otro,Un hombre parecían sospechosos a varias personas en vía pública,bajo,4.8419477,-74.0227978,2026-05-06T15:44:39.820012,
Otro,Un tipo merodeaban a una mujer frente a un comercio,bajo,4.8733286,-74.071861,2026-05-18T07:44:39.821296,
Comportamiento sospechoso,Un tipo hicieron ruido a varias personas cerca del parque,bajo,4.896906018474074,-74.05440781052904,2026-05-10T22:44:39.824671,Fagua
Vandalismo,Un hombre merodeaban a un estudiante cerca del parque,bajo,4.871838613196811,-74.01405700614384,2026-05-10T08:44:39.826669,Yerbabuena
Vandalismo,Un hombre merodeaban a una mujer frente a un comercio,bajo,4.8419477,-74.0227978,2026-05-20T08:44:39.828669,
Hurto,Dos sujetos merodeaban a varias personas en vía pública,bajo,4.8612776,-74.0601998,2026-04-29T23:44:39.831671,
Comportamiento sospechoso,Un hombre hicieron ruido a varias personas frente a un comercio,bajo,4.874395,-74.0044445,2026-05-13T05:44:39.833678,
Otro,Un tipo parecían sospechosos a una mujer frente a un comercio,bajo,42.50303109103969,0.45464703451554656,2026-04-29T18:44:39.836797,Chía
Comportamiento sospechoso,Un grupo de personas hicieron ruido a varias personas en zona residencial,bajo,42.5206948,0.465951,2026-05-06T03:44:39.838798,
Otro,Un ladrón merodeaban a un estudiante frente a un comercio,bajo,4.873443216678429,-74.02054885006785,2026-05-11T23:44:39.841909,Yerbabuena
Vandalismo,Un ladrón merodeaban a varias personas cerca del parque,bajo,4.824474025076262,-74.02359439758979,2026-05-19T06:44:39.843967,Fusca
Otro,Un ladrón hicieron ruido a varias personas en zona residencial,bajo,4.8634708,-74.0766704,2026-05-01T10:44:39.846968,
Otro,Un grupo de personas merodeaban a un estudiante frente a un comercio,bajo,4.856731964736291,-74.08409469412541,2026-05-05T10:44:39.849967,Fonquetá
Otro,Dos sujetos hicieron ruido a un estudiante cerca del parque,bajo,4.8612776,-74.0601998,2026-05-15T00:44:39.852972,
